Improving Parameter,Worsening Parameter,Inventive Principles
27 Loss of Energy,48 Measurement Precision,IP #3 and IP #37 and IP #24 and IP #26 and IP #32 and IP #28
28 Loss of Information,01 Weight of Moving Object,IP #13 and IP #35 and IP #7 and IP #10 and IP #17 and IP #24
28 Loss of Information,02 Weight of Stationary Object,IP #13 and IP #35 and IP #31 and IP #5 and IP #24 and IP #10
28 Loss of Information,03 Length / Angle of Moving Object,IP #28 and IP #25 and IP #10 and IP #37 and IP #1 and IP #26 and IP #16
28 Loss of Information,04 Length / Angle of Stationary Object,IP #28 and IP #25 and IP #17 and IP #26 and IP #37 and IP #32
28 Loss of Information,05 Area of Moving Object,IP #28 and IP #26 and IP #17 and IP #25 and IP #30 and IP #16 and IP #1 and IP #37 and IP #7
28 Loss of Information,06 Area of Stationary Object,IP #28 and IP #25 and IP #26 and IP #16 and IP #37 and IP #30 and IP #17 and IP #32
28 Loss of Information,07 Volume of Moving Object,IP #28 and IP #25 and IP #17 and IP #32 and IP #7 and IP #31 and IP #1 and IP #2
28 Loss of Information,08 Volume of Stationary Object,IP #28 and IP #25 and IP #32 and IP #1 and IP #35 and IP #31 and IP #7 and IP #2
28 Loss of Information,09 Shape,IP #25 and IP #14 and IP #24 and IP #3 and IP #4 and IP #32
28 Loss of Information,10 Amount of Substance,IP #17 and IP #28 and IP #24 and IP #7 and IP #33 and IP #31 and IP #32
28 Loss of Information,11 Amount of Information, and IP #2 and IP #7 and IP #24 and IP #3 and IP #32 and IP #5
28 Loss of Information,12 Duration of Action of Moving Object,IP #10 and IP #28 and IP #37 and IP #3 and IP #7 and IP #4
28 Loss of Information,13 Duration of Action of Stationary Object,IP #10 and IP #19 and IP #28 and IP #3 and IP #4 and IP #37
28 Loss of Information,14 Speed,IP #12 and IP #13 and IP #24 and IP #26 and IP #37 and IP #32
28 Loss of Information,15 Force / Torque,IP #13 and IP #17 and IP #24 and IP #37 and IP #1 and IP #36
28 Loss of Information,16 Energy Used by Moving Object,IP #1 and IP #24 and IP #25 and IP #20 and IP #10 and IP #19
28 Loss of Information,17 Energy Used by Stationary Object,IP #10 and IP #1 and IP #24 and IP #36 and IP #25
28 Loss of Information,18 Power,IP #10 and IP #19 and IP #24 and IP #25 and IP #7 and IP #13 and IP #3 and IP #37
28 Loss of Information,19 Stress / Pressure,IP #24 and IP #22 and IP #25 and IP #35 and IP #7 and IP #14 and IP #31
28 Loss of Information,20 Strength,IP #35 and IP #24 and IP #3 and IP #31 and IP #14 and IP #40
28 Loss of Information,21 Stability,IP #35 and IP #30 and IP #10 and IP #26 and IP #24 and IP #5 and IP #40
28 Loss of Information,22 Temperature,IP #28 and IP #22 and IP #1 and IP #25 and IP #26 and IP #24
28 Loss of Information,23 Illumination Intensity,IP #19 and IP #32 and IP #24 and IP #28 and IP #3 and IP #5
28 Loss of Information,24 Function Efficiency,IP #10 and IP #5 and IP #37 and IP #12 and IP #32 and and IP #25
28 Loss of Information,25 Loss of Substance,IP #7 and IP #17 and IP #2 and IP #3 and IP #13 and IP #25
28 Loss of Information,26 Loss of Time,IP #25 and IP #22 and IP #10 and IP #24 and IP #26 and IP #28 and IP #32 and IP #23
28 Loss of Information,27 Loss of Energy,IP #24 and IP #34 and IP #19 and IP #10 and IP #7 and IP #13
28 Loss of Information,28 Loss of Information,see physical contradiction
28 Loss of Information,29 Noise,IP #2 and IP #37 and IP #3 and IP #10 and IP #25
28 Loss of Information,30 Harmful Emissions,IP #7 and IP #1 and IP #13 and IP #21 and IP #35
28 Loss of Information,31 Other Harmful Effects Generated by System,IP #7 and IP #10 and IP #31 and IP #27 and IP #21 and IP #40 and IP #6
28 Loss of Information,32 Adaptability / Versatility,IP #24 and IP #5 and IP #25 and IP #9 and IP #40 and IP #35 and IP #19
28 Loss of Information,33 Compatibility / Connectability,IP #2 and IP #24 and IP #37 and IP #4 and IP #1 and IP #13
28 Loss of Information,34 Trainability / Operability / Controllability,IP #7 and IP #1 and IP #3 and IP #10 and IP #5 and IP #13
28 Loss of Information,35 Reliability / Robustness,IP #13 and IP #24 and IP #10 and IP #26 and IP #6 and IP #4 and IP #3 and IP #40 and IP #17
28 Loss of Information,36 Repairability,IP #2 and IP #10 and IP #17 and IP #13 and IP #28
28 Loss of Information,37 Security,IP #26 and IP #24 and IP #25 and IP #1 and IP #17 and IP #28
28 Loss of Information,38 Safety / Vulnerability,IP #10 and IP #28 and IP #24 and IP #7 and IP #30 and IP #4
28 Loss of Information,39 Aesthetics / Appearance,IP #32 and IP #3 and IP #17 and IP #7 and IP #5
28 Loss of Information,40 Other Harmful Effects Acting on System,IP #10 and IP #24 and IP #11 and IP #3 and IP #25 and IP #22 and IP #17 and IP #7 and IP #6
28 Loss of Information,41 Manufacturability,IP #25 and IP #29 and IP #28 and IP #40 and IP #37
28 Loss of Information,42 Manufacture Precision / Consistency,IP #25 and IP #17 and IP #37 and IP #1 and IP #32 and IP #4
28 Loss of Information,43 Automation,IP #5 and IP #24 and IP #35 and IP #10 and IP #25
28 Loss of Information,44 Productivity,IP #5 and IP #10 and IP #13 and IP #24 and IP #25 and IP #15
28 Loss of Information,45 System Complexity,IP #6 and IP #25 and IP #13 and IP #24 and IP #4 and IP #28
28 Loss of Information,46 Control Complexity,IP #10 and IP #6 and IP #25 and IP #2 and IP #3 and IP #19
28 Loss of Information,47 Ability to Detect / Measure,IP #28 and IP #32 and IP #1 and IP #10 and IP #37 and IP #7
28 Loss of Information,48 Measurement Precision,IP #37 and IP #4 and IP #32 and IP #10 and IP #7
29 Noise,01 Weight of Moving Object,IP #31 and IP #9 and IP #3 and IP #22 and IP #13 and IP #14 and IP #4
29 Noise,02 Weight of Stationary Object,IP #31 and IP #9 and IP #14 and IP #39 and IP #4 and IP #35
29 Noise,03 Length / Angle of Moving Object,IP #17 and IP #3 and IP #14 and IP #9 and IP #1 and IP #35 and IP #13
29 Noise,04 Length / Angle of Stationary Object,IP #3 and IP #17 and IP #14 and IP #35 and IP #9 and IP #1
29 Noise,05 Area of Moving Object,IP #3 and IP #14 and IP #17 and IP #35 and IP #1 and IP #13 and IP #9
29 Noise,06 Area of Stationary Object,IP #17 and IP #3 and IP #9 and IP #14 and IP #1 and IP #35
29 Noise,07 Volume of Moving Object,IP #3 and IP #14 and IP #35 and IP #1 and IP #13 and IP #4 and IP #9 and IP #17
29 Noise,08 Volume of Stationary Object,IP #3 and IP #9 and IP #14 and IP #4 and IP #35 and IP #1
29 Noise,09 Shape,IP #4 and IP #35 and IP #28 and IP #2 and IP #14 and IP #22 and IP #31 and IP #3
29 Noise,10 Amount of Substance,IP #31 and IP #9 and IP #14 and IP #35 and IP #4 and IP #1 and IP #10 and IP #15 and IP #39
29 Noise,11 Amount of Information,IP #3 and IP #10 and IP #23 and IP #31 and IP #34 and IP #2 and 
29 Noise,12 Duration of Action of Moving Object,IP #10 and IP #1 and IP #35 and IP #19 and IP #4 and IP #21
29 Noise,13 Duration of Action of Stationary Object,IP #10 and IP #4 and IP #1 and IP #13 and IP #24 and IP #3 and IP #35
29 Noise,14 Speed,IP #3 and IP #1 and IP #14 and IP #31 and IP #39 and IP #24 and IP #4
29 Noise,15 Force / Torque,IP #3 and IP #14 and IP #17 and IP #4 and IP #1 and IP #31
29 Noise,16 Energy Used by Moving Object,IP #19 and IP #28 and IP #4 and IP #35 and IP #14 and IP #24 and IP #23 and IP #9 and IP #3
29 Noise,17 Energy Used by Stationary Object,IP #19 and IP #23 and IP #28 and IP #4 and IP #24 and IP #14 and IP #9 and IP #3 and IP #35
29 Noise,18 Power,IP #28 and IP #23 and IP #25 and IP #24 and IP #3 and IP #13 and IP #14 and IP #35 and IP #39
29 Noise,19 Stress / Pressure,IP #3 and IP #14 and IP #9 and IP #2 and IP #23 and IP #24 and IP #39 and IP #25
29 Noise,20 Strength,IP #3 and IP #35 and IP #26 and IP #40 and IP #4 and IP #28 and IP #30 and IP #10
29 Noise,21 Stability,IP #23 and IP #25 and IP #2 and IP #10 and IP #13 and IP #5 and IP #29 and IP #39 and IP #12
29 Noise,22 Temperature,IP #35 and IP #12 and IP #2 and IP #3 and IP #13
29 Noise,23 Illumination Intensity,IP #35 and IP #2 and IP #9 and IP #40 and IP #17 and IP #13
29 Noise,24 Function Efficiency,IP #17 and IP #15 and IP #31 and IP #3 and IP #25 and IP #4 and IP #35 and IP #28
29 Noise,25 Loss of Substance,IP #35 and IP #31 and IP #2 and IP #9 and IP #13 and IP #24 and IP #34
29 Noise,26 Loss of Time,IP #35 and IP #28 and IP #19 and IP #25 and IP #37 and IP #15 and IP #13
29 Noise,27 Loss of Energy,IP #3 and IP #15 and IP #9 and IP #31 and IP #35 and IP #39 and IP #24 and IP #13
29 Noise,28 Loss of Information,IP #10 and IP #23 and IP #2 and IP #3 and IP #26
29 Noise,29 Noise,see physical contradiction
29 Noise,30 Harmful Emissions,IP #5 and IP #2 and IP #35 and IP #19 and IP #9 and IP #25 and IP #15 and IP #7
29 Noise,31 Other Harmful Effects Generated by System,IP #28 and IP #2 and IP #18 and IP #29 and and IP #3 and IP #9 and IP #25 and IP #31
29 Noise,32 Adaptability / Versatility,IP #28 and IP #10 and IP #1 and IP #15 and IP #3 and IP #25
29 Noise,33 Compatibility / Connectability,IP #2 and IP #35 and IP #9 and IP #17 and IP #28 and IP #3
29 Noise,34 Trainability / Operability / Controllability,IP #28 and IP #26 and IP #25 and IP #1 and IP #24
29 Noise,35 Reliability / Robustness,IP #35 and IP #9 and IP #13 and IP #16 and IP #5 and IP #21 and IP #3
29 Noise,36 Repairability,IP #5 and IP #9 and IP #31 and IP #2 and IP #17 and IP #3 and 
29 Noise,37 Security,IP #28 and IP #2 and IP #24 and IP #1 and 
29 Noise,38 Safety / Vulnerability,IP #5 and IP #28 and IP #24 and IP #18 and IP #22 and IP #13
29 Noise,39 Aesthetics / Appearance,IP #9 and IP #7 and IP #31 and IP #14 and IP #4 and IP #2 and IP #35
29 Noise,40 Other Harmful Effects Acting on System,IP #2 and IP #35 and IP #31 and IP #22 and IP #40 and IP #13 and IP #16 and IP #5 and IP #19
29 Noise,41 Manufacturability,IP #35 and IP #5 and IP #6 and IP #13 and IP #21 and IP #18
29 Noise,42 Manufacture Precision / Consistency,IP #15 and IP #3 and IP #10 and IP #2 and IP #28 and IP #1
29 Noise,43 Automation,IP #15 and IP #28 and IP #10 and IP #1 and IP #3 and IP #13
29 Noise,44 Productivity,IP #3 and IP #15 and IP #10 and IP #2 and IP #28
29 Noise,45 System Complexity,IP #6 and IP #13 and IP #1 and IP #24 and IP #15 and IP #25
29 Noise,46 Control Complexity,IP #23 and IP #10 and IP #28 and IP #3 and IP #2 and IP #25 and IP #6 and IP #9 and IP #1
29 Noise,47 Ability to Detect / Measure,IP #24 and IP #3 and IP #14 and IP #30 and IP #28 and IP #37 and IP #13 and IP #39
29 Noise,48 Measurement Precision,IP #5 and IP #10 and IP #24 and IP #22 and IP #3 and IP #25 and IP #23
30 Harmful Emissions,01 Weight of Moving Object,IP #28 and IP #35 and IP #20 and IP #21 and IP #19 and IP #5 and IP #18
30 Harmful Emissions,02 Weight of Stationary Object,IP #28 and IP #31 and IP #13 and IP #5 and IP #2 and IP #36 and IP #35
30 Harmful Emissions,03 Length / Angle of Moving Object,IP #14 and IP #18 and IP #4 and IP #19 and IP #17 and IP #36 and IP #15 and IP #13
30 Harmful Emissions,04 Length / Angle of Stationary Object,IP #17 and IP #18 and IP #21 and IP #14 and IP #4 and IP #1 and IP #36 and IP #13
30 Harmful Emissions,05 Area of Moving Object,IP #4 and IP #14 and IP #19 and IP #15 and IP #18 and IP #13 and IP #3 and IP #36
30 Harmful Emissions,06 Area of Stationary Object,IP #4 and IP #14 and IP #13 and IP #24 and IP #17 and IP #18 and IP #36 and IP #3
30 Harmful Emissions,07 Volume of Moving Object,IP #13 and IP #15 and IP #3 and IP #19 and IP #18 and IP #4 and IP #1
30 Harmful Emissions,08 Volume of Stationary Object,IP #13 and IP #4 and IP #3 and IP #15 and IP #18 and IP #36 and IP #24 and IP #35
30 Harmful Emissions,09 Shape,IP #35 and IP #36 and IP #3 and IP #31 and IP #38 and IP #15 and IP #13
30 Harmful Emissions,10 Amount of Substance,IP #35 and IP #10 and IP #19 and IP #18 and IP #24 and IP #13 and IP #7
30 Harmful Emissions,11 Amount of Information,IP #10 and IP #23 and IP #37 and IP #1 and IP #13 and IP #4 and 
30 Harmful Emissions,12 Duration of Action of Moving Object,IP #1 and IP #10 and IP #21 and IP #3 and IP #36 and IP #18 and IP #15
30 Harmful Emissions,13 Duration of Action of Stationary Object,IP #1 and IP #3 and IP #10 and IP #15 and IP #18 and IP #36
30 Harmful Emissions,14 Speed,IP #35 and IP #28 and IP #13 and IP #21 and IP #3 and IP #18 and IP #36
30 Harmful Emissions,15 Force / Torque,IP #10 and IP #3 and IP #15 and IP #35 and IP #28
30 Harmful Emissions,16 Energy Used by Moving Object,IP #35 and IP #28 and IP #10 and IP #3 and IP #20 and IP #4
30 Harmful Emissions,17 Energy Used by Stationary Object,IP #35 and IP #3 and IP #20 and IP #10 and IP #28 and IP #4
30 Harmful Emissions,18 Power,IP #35 and IP #28 and IP #10 and IP #3 and IP #4 and IP #18 and IP #20
30 Harmful Emissions,19 Stress / Pressure,IP #10 and IP #12 and IP #9 and IP #35 and IP #15 and IP #28 and IP #17 and IP #13
30 Harmful Emissions,20 Strength,IP #10 and IP #35 and IP #15 and IP #28 and IP #17 and IP #4 and IP #5
30 Harmful Emissions,21 Stability,IP #15 and IP #4 and IP #19 and IP #3 and IP #1
30 Harmful Emissions,22 Temperature,IP #19 and IP #18 and IP #36 and IP #20 and IP #3 and IP #1 and IP #35 and 
30 Harmful Emissions,23 Illumination Intensity,IP #32 and IP #24 and IP #35 and IP #2 and IP #5 and IP #19
30 Harmful Emissions,24 Function Efficiency,IP #10 and IP #35 and IP #28 and IP #15 and IP #12 and IP #3
30 Harmful Emissions,25 Loss of Substance,IP #10 and IP #12 and IP #18 and IP #14 and IP #13 and IP #1 and IP #3 and IP #4 and IP #35
30 Harmful Emissions,26 Loss of Time,IP #2 and IP #10 and IP #35 and IP #36 and IP #21 and IP #3
30 Harmful Emissions,27 Loss of Energy,IP #10 and IP #18 and IP #13 and IP #2 and IP #21 and IP #35 and IP #3 and IP #1
30 Harmful Emissions,28 Loss of Information,IP #9 and IP #16 and IP #13 and IP #2 and IP #4 and IP #23
30 Harmful Emissions,29 Noise,IP #18 and IP #35 and IP #28 and IP #14 and IP #31 and IP #16
30 Harmful Emissions,30 Harmful Emissions,see physical contradiction
30 Harmful Emissions,31 Other Harmful Effects Generated by System,IP #21 and IP #23 and IP #33 and IP #1 and IP #34 and IP #40 and IP #12 and IP #11
30 Harmful Emissions,32 Adaptability / Versatility,IP #18 and IP #35 and IP #10 and IP #13 and IP #15 and IP #1 and IP #4
30 Harmful Emissions,33 Compatibility / Connectability,IP #2 and IP #35 and IP #16 and IP #19 and IP #5 and IP #3 and IP #4
30 Harmful Emissions,34 Trainability / Operability / Controllability,IP #25 and IP #10 and IP #13 and IP #26 and IP #1
30 Harmful Emissions,35 Reliability / Robustness,IP #2 and IP #35 and IP #40 and IP #3 and IP #4 and IP #17 and IP #14
30 Harmful Emissions,36 Repairability,IP #18 and IP #28 and IP #1 and IP #23 and IP #27 and IP #30
30 Harmful Emissions,37 Security,IP #28 and IP #10 and IP #2 and IP #17 and IP #13 and IP #1
30 Harmful Emissions,38 Safety / Vulnerability,IP #15 and IP #28 and IP #23 and IP #35 and IP #31
30 Harmful Emissions,39 Aesthetics / Appearance,IP #17 and IP #7 and IP #10 and IP #5 and IP #19
30 Harmful Emissions,40 Other Harmful Effects Acting on System,IP #2 and IP #30 and IP #37 and IP #38 and IP #40 and IP #12 and IP #22
30 Harmful Emissions,41 Manufacturability,IP #30 and IP #13 and IP #31 and IP #5 and IP #40 and IP #10
30 Harmful Emissions,42 Manufacture Precision / Consistency,IP #2 and IP #18 and IP #15 and IP #25 and IP #12
30 Harmful Emissions,43 Automation,IP #10 and IP #2 and IP #36 and IP #7 and IP #14
30 Harmful Emissions,44 Productivity,IP #10 and IP #2 and IP #1 and IP #19 and IP #25
30 Harmful Emissions,45 System Complexity,IP #21 and IP #28 and IP #35 and IP #6 and IP #2
30 Harmful Emissions,46 Control Complexity,IP #10 and IP #23 and IP #37 and IP #1 and IP #4
30 Harmful Emissions,47 Ability to Detect / Measure,IP #24 and IP #10 and IP #28 and IP #25 and IP #4 and IP #37
30 Harmful Emissions,48 Measurement Precision,IP #28 and IP #10 and IP #37 and IP #4 and IP #3
31 Other Harmful Effects Generated by System,01 Weight of Moving Object,IP #35 and IP #30 and IP #31 and IP #15 and IP #19 and IP #40 and IP #39
31 Other Harmful Effects Generated by System,02 Weight of Stationary Object,IP #40 and IP #35 and IP #31 and IP #9 and IP #1 and IP #4 and IP #30
31 Other Harmful Effects Generated by System,03 Length / Angle of Moving Object,IP #15 and IP #17 and IP #40 and IP #24 and IP #16 and IP #35 and IP #12 and IP #3
31 Other Harmful Effects Generated by System,04 Length / Angle of Stationary Object,IP #17 and IP #4 and IP #35 and IP #40 and IP #14 and IP #24
31 Other Harmful Effects Generated by System,05 Area of Moving Object,IP #4 and IP #17 and IP #12 and IP #3 and IP #19 and IP #7 and IP #24
31 Other Harmful Effects Generated by System,06 Area of Stationary Object,IP #3 and IP #4 and IP #1 and IP #35 and IP #5 and IP #40 and IP #17 and IP #18
31 Other Harmful Effects Generated by System,07 Volume of Moving Object,IP #17 and IP #30 and IP #14 and IP #2 and IP #40 and IP #28 and IP #1
31 Other Harmful Effects Generated by System,08 Volume of Stationary Object,IP #4 and IP #14 and IP #30 and IP #18 and IP #35 and IP #5 and IP #24
31 Other Harmful Effects Generated by System,09 Shape,IP #1 and IP #35 and IP #4 and IP #3 and IP #7 and IP #24 and IP #2
31 Other Harmful Effects Generated by System,10 Amount of Substance,IP #1 and IP #3 and IP #24 and IP #35 and IP #39 and IP #5 and IP #9
31 Other Harmful Effects Generated by System,11 Amount of Information,IP #10 and IP #7 and IP #32 and IP #4 and IP #3 and IP #17 and 
31 Other Harmful Effects Generated by System,12 Duration of Action of Moving Object,IP #15 and IP #3 and IP #12 and IP #21 and IP #33 and IP #35
31 Other Harmful Effects Generated by System,13 Duration of Action of Stationary Object,IP #21 and IP #16 and IP #17 and IP #14 and IP #13 and IP #9 and IP #35
31 Other Harmful Effects Generated by System,14 Speed,IP #3 and IP #35 and IP #29 and IP #31 and IP #28 and IP #4 and IP #12 and IP #17
31 Other Harmful Effects Generated by System,15 Force / Torque,IP #28 and IP #35 and IP #15 and IP #29 and IP #40 and IP #1 and IP #3 and IP #4
31 Other Harmful Effects Generated by System,16 Energy Used by Moving Object,IP #35 and IP #6 and IP #12 and IP #26 and IP #4 and IP #3
31 Other Harmful Effects Generated by System,17 Energy Used by Stationary Object,IP #35 and IP #24 and IP #19 and IP #3 and IP #4 and IP #22
31 Other Harmful Effects Generated by System,18 Power,IP #3 and IP #35 and IP #18 and IP #4 and IP #14 and IP #13
31 Other Harmful Effects Generated by System,19 Stress / Pressure,IP #1 and IP #17 and IP #30 and IP #27 and IP #9 and IP #37 and IP #36
31 Other Harmful Effects Generated by System,20 Strength,IP #35 and IP #40 and IP #17 and IP #5 and IP #30 and IP #2 and IP #15
31 Other Harmful Effects Generated by System,21 Stability,IP #40 and IP #4 and IP #35 and IP #14 and IP #24 and IP #3 and IP #39 and IP #14
31 Other Harmful Effects Generated by System,22 Temperature,IP #35 and IP #24 and IP #1 and IP #7 and IP #5 and IP #13 and IP #10 and IP #3 and IP #22
31 Other Harmful Effects Generated by System,23 Illumination Intensity,IP #19 and IP #35 and IP #32 and IP #24 and IP #39 and IP #28 and IP #1
31 Other Harmful Effects Generated by System,24 Function Efficiency,IP #35 and IP #28 and IP #25 and IP #2 and IP #15 and IP #19 and IP #3 and IP #4 and IP #13 and 
31 Other Harmful Effects Generated by System,25 Loss of Substance,IP #34 and IP #35 and IP #24 and IP #15 and IP #36 and IP #10 and IP #1 and IP #12
31 Other Harmful Effects Generated by System,26 Loss of Time,IP #10 and IP #25 and IP #9 and IP #23 and IP #5 and IP #35 and IP #1 and IP #3
31 Other Harmful Effects Generated by System,27 Loss of Energy,IP #10 and IP #3 and IP #35 and IP #12 and IP #36 and IP #25 and IP #4
31 Other Harmful Effects Generated by System,28 Loss of Information,IP #4 and IP #7 and IP #10 and IP #32 and IP #21 and IP #3 and IP #37
31 Other Harmful Effects Generated by System,29 Noise,IP #14 and IP #31 and IP #13 and IP #15 and IP #18 and IP #9 and IP #1 and IP #35
31 Other Harmful Effects Generated by System,30 Harmful Emissions,IP #1 and IP #24 and IP #21 and IP #13 and IP #15 and IP #40 and IP #12
31 Other Harmful Effects Generated by System,31 Other Harmful Effects Generated by System,see physical contradiction
31 Other Harmful Effects Generated by System,32 Adaptability / Versatility,IP #1 and IP #15 and IP #29 and IP #14 and IP #3 and IP #17 and IP #4 and IP #24
31 Other Harmful Effects Generated by System,33 Compatibility / Connectability,IP #5 and IP #17 and IP #1 and IP #29 and IP #23 and IP #24 and IP #3
31 Other Harmful Effects Generated by System,34 Trainability / Operability / Controllability,IP #10 and IP #15 and IP #23 and IP #5 and IP #4 and IP #24 and IP #14 and IP #6 and IP #3 and 
31 Other Harmful Effects Generated by System,35 Reliability / Robustness,IP #40 and IP #24 and IP #35 and IP #4 and IP #12 and IP #17 and IP #7 and IP #39 and IP #33
31 Other Harmful Effects Generated by System,36 Repairability,IP #1 and IP #24 and IP #27 and IP #17 and IP #30 and IP #12 and IP #40
31 Other Harmful Effects Generated by System,37 Security,IP #28 and IP #35 and IP #1 and IP #17 and IP #12 and IP #30
31 Other Harmful Effects Generated by System,38 Safety / Vulnerability,IP #31 and IP #30 and IP #35 and IP #39 and IP #16 and IP #24 and IP #10 and IP #3 and IP #5
31 Other Harmful Effects Generated by System,39 Aesthetics / Appearance,IP #2 and IP #17 and IP #28 and IP #24 and IP #40 and IP #3 and IP #26 and IP #35
31 Other Harmful Effects Generated by System,40 Other Harmful Effects Acting on System,IP #35 and IP #1 and IP #24 and IP #9 and IP #3 and IP #25 and IP #7 and IP #13 and IP #12
31 Other Harmful Effects Generated by System,41 Manufacturability,IP #28 and IP #4 and IP #40 and IP #24 and IP #7 and IP #3 and IP #1
31 Other Harmful Effects Generated by System,42 Manufacture Precision / Consistency,IP #17 and IP #26 and IP #4 and IP #10 and IP #35 and IP #1 and IP #34
31 Other Harmful Effects Generated by System,43 Automation,IP #2 and IP #10 and IP #3 and IP #17 and IP #13 and IP #30 and IP #19
31 Other Harmful Effects Generated by System,44 Productivity,IP #28 and IP #2 and IP #25 and IP #35 and IP #18 and IP #5 and IP #40 and IP #39
31 Other Harmful Effects Generated by System,45 System Complexity,IP #19 and IP #31 and IP #1 and IP #35 and IP #2 and IP #17 and IP #3
31 Other Harmful Effects Generated by System,46 Control Complexity,IP #10 and IP #26 and IP #19 and IP #23 and IP #17 and IP #13 and IP #1
31 Other Harmful Effects Generated by System,47 Ability to Detect / Measure,IP #1 and IP #37 and IP #32 and IP #31 and IP #40 and IP #5 and IP #24 and IP #17
31 Other Harmful Effects Generated by System,48 Measurement Precision,IP #4 and IP #17 and IP #26 and IP #10 and IP #37 and IP #34 and IP #24
32 Adaptability / Versatility,01 Weight of Moving Object,IP #35 and IP #1 and IP #8 and IP #31 and IP #30 and IP #6 and IP #14 and IP #13 and IP #29
32 Adaptability / Versatility,02 Weight of Stationary Object,IP #35 and IP #17 and IP #12 and IP #1 and IP #31 and IP #13 and IP #16
32 Adaptability / Versatility,03 Length / Angle of Moving Object,IP #17 and IP #30 and IP #15 and IP #26 and IP #19 and IP #29 and IP #4 and IP #24
32 Adaptability / Versatility,04 Length / Angle of Stationary Object,IP #17 and IP #4 and IP #26 and IP #28 and IP #1 and IP #31
32 Adaptability / Versatility,05 Area of Moving Object,IP #13 and IP #29 and IP #17 and IP #31 and IP #28 and IP #14 and IP #16 and IP #3
32 Adaptability / Versatility,06 Area of Stationary Object,IP #31 and IP #6 and IP #26 and IP #24 and IP #1 and IP #3
32 Adaptability / Versatility,07 Volume of Moving Object,IP #30 and IP #35 and IP #31 and IP #6 and IP #3 and IP #24 and IP #4
32 Adaptability / Versatility,08 Volume of Stationary Object,IP #24 and IP #15 and IP #31 and IP #16 and IP #1 and IP #3 and IP #35 and IP #7 and IP #30
32 Adaptability / Versatility,09 Shape,IP #15 and IP #2 and IP #24 and IP #30 and IP #5 and IP #7 and IP #30 and IP #17 and IP #13
32 Adaptability / Versatility,10 Amount of Substance,IP #30 and IP #31 and IP #35 and IP #3 and IP #15 and IP #24 and IP #25
32 Adaptability / Versatility,11 Amount of Information,IP #2 and IP #19 and IP #7 and IP #16 and IP #37 and IP #4 and IP #1 and 
32 Adaptability / Versatility,12 Duration of Action of Moving Object,IP #28 and IP #29 and IP #35 and IP #13 and IP #1 and IP #24 and IP #19 and IP #12
32 Adaptability / Versatility,13 Duration of Action of Stationary Object,IP #15 and IP #13 and IP #16 and IP #2 and IP #17 and IP #3 and IP #35
32 Adaptability / Versatility,14 Speed,IP #10 and IP #14 and IP #35 and IP #24 and IP #15 and IP #28 and IP #12 and IP #29
32 Adaptability / Versatility,15 Force / Torque,IP #35 and IP #15 and IP #17 and IP #14 and IP #6 and IP #7 and IP #13
32 Adaptability / Versatility,16 Energy Used by Moving Object,IP #29 and IP #13 and IP #19 and IP #35 and IP #15 and IP #16 and IP #12 and IP #1
32 Adaptability / Versatility,17 Energy Used by Stationary Object,IP #35 and IP #16 and IP #1 and IP #19 and IP #3 and IP #12 and IP #17 and 
32 Adaptability / Versatility,18 Power,IP #19 and IP #1 and IP #24 and IP #35 and IP #29 and IP #28 and IP #12
32 Adaptability / Versatility,19 Stress / Pressure,IP #15 and IP #29 and IP #13 and IP #28 and IP #24 and IP #12 and IP #4 and IP #16
32 Adaptability / Versatility,20 Strength,IP #35 and IP #40 and IP #3 and IP #17 and IP #13 and IP #24 and IP #9 and IP #19 and 
32 Adaptability / Versatility,21 Stability,IP #35 and IP #40 and IP #4 and IP #14 and IP #30 and IP #31 and IP #24 and IP #3
32 Adaptability / Versatility,22 Temperature,IP #35 and IP #5 and IP #19 and IP #36 and IP #2 and IP #3 and IP #15 and IP #24
32 Adaptability / Versatility,23 Illumination Intensity,IP #1 and IP #35 and IP #32 and IP #19 and IP #17 and IP #24 and IP #28 and IP #26
32 Adaptability / Versatility,24 Function Efficiency,IP #19 and IP #3 and IP #13 and IP #25 and IP #4 and IP #37 and IP #35
32 Adaptability / Versatility,25 Loss of Substance,IP #13 and IP #10 and IP #3 and IP #15 and IP #19 and IP #40 and IP #24
32 Adaptability / Versatility,26 Loss of Time,IP #28 and IP #15 and IP #29 and IP #35 and IP #4 and IP #24 and IP #6 and IP #10
32 Adaptability / Versatility,27 Loss of Energy,IP #15 and IP #19 and IP #3 and IP #1 and IP #18 and IP #35 and IP #34 and 
32 Adaptability / Versatility,28 Loss of Information,IP #7 and IP #3 and IP #10 and IP #26 and IP #37 and IP #13 and IP #24
32 Adaptability / Versatility,29 Noise,IP #31 and IP #9 and IP #30 and IP #14 and IP #18 and IP #29 and IP #3
32 Adaptability / Versatility,30 Harmful Emissions,IP #1 and IP #19 and IP #21 and IP #10 and IP #24 and IP #5 and IP #35
32 Adaptability / Versatility,31 Other Harmful Effects Generated by System,IP #24 and IP #25 and IP #4 and IP #30 and IP #35 and IP #17 and IP #12 and IP #11
32 Adaptability / Versatility,32 Adaptability / Versatility,see physical contradiction
32 Adaptability / Versatility,33 Compatibility / Connectability,IP #1 and IP #5 and IP #3 and IP #28 and IP #2 and IP #25 and IP #13
