Improving Parameter,Worsening Parameter,Inventive Principles
20 Use of energy by stationary object,26 Quantity of substance,IP #3 and IP #35 and IP #31
20 Use of energy by stationary object,27 Reliability,IP #10 and IP #36 and IP #23
20 Use of energy by stationary object,28 Measurement accuracy,no preferred inventive principles
20 Use of energy by stationary object,29 Manufacturing precision,no preferred inventive principles
20 Use of energy by stationary object,30 Object-affected harmful factor,IP #10 and IP #2 and IP #22 and IP #37
20 Use of energy by stationary object,31 Object-generated harmful factor,IP #19 and IP #22 and IP #18
20 Use of energy by stationary object,32 Ease of manufacture,IP #1 and IP #4
20 Use of energy by stationary object,33 Ease of operation,no preferred inventive principles
20 Use of energy by stationary object,34 Ease of repair,no preferred inventive principles
20 Use of energy by stationary object,35 Adaptability or Versatility,no preferred inventive principles
20 Use of energy by stationary object,36 Device complexity,no preferred inventive principles
20 Use of energy by stationary object,37 Difficulty of detection,IP #19 and IP #35 and IP #16 and IP #25
20 Use of energy by stationary object,38 Extent of automation,no preferred inventive principles
20 Use of energy by stationary object,39 Productivity,IP #1 and IP #6
21 Power,01 Weight of moving object,IP #8 and IP #36 and IP #38 and IP #31
21 Power,02 Weight of stationary object,IP #19 and IP #26 and IP #17 and IP #27
21 Power,03 Length of moving object,IP #1 and IP #10 and IP #35 and IP #37
21 Power,04 Length of stationary object,no preferred inventive principles
21 Power,05 Area of moving object,IP #19 and IP #38
21 Power,06 Area of stationary object,IP #17 and IP #32 and IP #13 and IP #38
21 Power,07 Volume of moving object,IP #35 and IP #6 and IP #38
21 Power,08 Volume of stationary object,IP #30 and IP #6 and IP #25
21 Power,09 Speed,IP #15 and IP #35 and IP #2
21 Power,10 Force (Intensity),IP #26 and IP #2 and IP #36 and IP #35
21 Power,11 Stress or pressure,IP #22 and IP #10 and IP #35
21 Power,12 Shape,IP #29 and IP #14 and IP #2 and IP #40
21 Power,13 Stability of the object composition,IP #35 and IP #32 and IP #15 and IP #31
21 Power,14 Strength,IP #26 and IP #10 and IP #28
21 Power,15 Duration of action of moving object,IP #19 and IP #35 and IP #10 and IP #38
21 Power,16 Duration of action of stationary object,IP #16
21 Power,17 Temperature,IP #2 and IP #14 and IP #17 and IP #25
21 Power,18 Illumination intensity,IP #16 and IP #6 and IP #19
21 Power,19 Use of energy by moving object,IP #16 and IP #6 and IP #19 and IP #37
21 Power,20 Use of energy by stationary object,no preferred inventive principles
21 Power,21 Power,see physical contradiction
21 Power,22 Loss of energy,IP #10 and IP #35 and IP #38
21 Power,23 Loss of substance,IP #28 and IP #27 and IP #18 and IP #38
21 Power,24 Loss of information,IP #10 and IP #19
21 Power,25 Loss of time,IP #35 and IP #20 and IP #10 and IP #6
21 Power,26 Quantity of substance,IP #4 and IP #34 and IP #19
21 Power,27 Reliability,IP #19 and IP #24 and IP #26 and IP #31
21 Power,28 Measurement accuracy,IP #32 and IP #15 and IP #2
21 Power,29 Manufacturing precision,IP #32 and IP #2
21 Power,30 Object-affected harmful factor,IP #19 and IP #22 and IP #31 and IP #2
21 Power,31 Object-generated harmful factor,IP #2 and IP #35 and IP #18
21 Power,32 Ease of manufacture,IP #26 and IP #10 and IP #34
21 Power,33 Ease of operation,IP #26 and IP #35 and IP #10
21 Power,34 Ease of repair,IP #35 and IP #2 and IP #10 and IP #34
21 Power,35 Adaptability or Versatility,IP #19 and IP #17 and IP #34
21 Power,36 Device complexity,IP #20 and IP #19 and IP #30 and IP #34
21 Power,37 Difficulty of detection,IP #19 and IP #35 and IP #16
21 Power,38 Extent of automation,IP #28 and IP #2 and IP #17
21 Power,39 Productivity,IP #28 and IP #35 and IP #34
22 Loss of energy,01 Weight of moving object,IP #15 and IP #6 and IP #19 and IP #28
22 Loss of energy,02 Weight of stationary object,IP #19 and IP #6 and IP #18 and IP #9
22 Loss of energy,03 Length of moving object,IP #7 and IP #2 and IP #6 and IP #13
22 Loss of energy,04 Length of stationary object,IP #6 and IP #38 and IP #7
22 Loss of energy,05 Area of moving object,IP #15 and IP #26 and IP #17 and IP #30
22 Loss of energy,06 Area of stationary object,IP #17 and IP #7 and IP #30 and IP #18
22 Loss of energy,07 Volume of moving object,IP #7 and IP #18 and IP #23
22 Loss of energy,08 Volume of stationary object,IP #7
22 Loss of energy,09 Speed,IP #16 and IP #35 and IP #38
22 Loss of energy,10 Force (Intensity),IP #36 and IP #38
22 Loss of energy,11 Stress or pressure,no preferred inventive principles
22 Loss of energy,12 Shape,no preferred inventive principles
22 Loss of energy,13 Stability of the object composition,IP #14 and IP #2 and IP #39 and IP #6
22 Loss of energy,14 Strength,IP #26
22 Loss of energy,15 Duration of action of moving object,no preferred inventive principles
22 Loss of energy,16 Duration of action of stationary object,no preferred inventive principles
22 Loss of energy,17 Temperature,IP #19 and IP #38 and IP #7
22 Loss of energy,18 Illumination intensity,IP #1 and IP #13 and IP #32 and IP #15
22 Loss of energy,19 Use of energy by moving object,no preferred inventive principles
22 Loss of energy,20 Use of energy by stationary object,no preferred inventive principles
22 Loss of energy,21 Power,IP #3 and IP #38
22 Loss of energy,22 Loss of energy,see physical contradiction
22 Loss of energy,23 Loss of substance,IP #35 and IP #27 and IP #2 and IP #37
22 Loss of energy,24 Loss of information,IP #19 and IP #10
22 Loss of energy,25 Loss of time,IP #10 and IP #18 and IP #32 and IP #7
22 Loss of energy,26 Quantity of substance,IP #7 and IP #18 and IP #25
22 Loss of energy,27 Reliability,IP #11 and IP #10 and IP #35
22 Loss of energy,28 Measurement accuracy,IP #32
22 Loss of energy,29 Manufacturing precision,no preferred inventive principles
22 Loss of energy,30 Object-affected harmful factor,IP #21 and IP #22 and IP #35 and IP #2
22 Loss of energy,31 Object-generated harmful factor,IP #21 and IP #35 and IP #2 and IP #22
22 Loss of energy,32 Ease of manufacture,no preferred inventive principles
22 Loss of energy,33 Ease of operation,IP #35 and IP #32 and IP #1
22 Loss of energy,34 Ease of repair,IP #2 and IP #19
22 Loss of energy,35 Adaptability or Versatility,no preferred inventive principles
22 Loss of energy,36 Device complexity,IP #7 and IP #23
22 Loss of energy,37 Difficulty of detection,IP #35 and IP #3 and IP #15 and IP #23
22 Loss of energy,38 Extent of automation,IP #2
22 Loss of energy,39 Productivity,IP #28 and IP #10 and IP #29 and IP #35
23 Loss of substance,01 Weight of moving object,IP #35 and IP #6 and IP #23 and IP #40
23 Loss of substance,02 Weight of stationary object,IP #35 and IP #6 and IP #22 and IP #32
23 Loss of substance,03 Length of moving object,IP #14 and IP #29 and IP #10 and IP #39
23 Loss of substance,04 Length of stationary object,IP #10 and IP #28 andIP #24
23 Loss of substance,05 Area of moving object,IP #35 and IP #2 and IP #10 and IP #31
23 Loss of substance,06 Area of stationary object,IP #10 and IP #18 and IP #39 and IP #31
23 Loss of substance,07 Volume of moving object,IP #1 and IP #29 and IP #30 and IP #36
23 Loss of substance,08 Volume of stationary object,IP #3 and IP #39 and IP #18 and IP #31
23 Loss of substance,09 Speed,IP #10 and IP #13 and IP #28 and IP #38
23 Loss of substance,10 Force (Intensity),IP #14 and IP #15 and IP #18 and IP #40
23 Loss of substance,11 Stress or pressure,IP #3 and IP #36 and IP #37 and IP #10
23 Loss of substance,12 Shape,IP #29 and IP #35 and IP #3 and IP #5
23 Loss of substance,13 Stability of the object composition,IP #2 and IP #14 and IP #30 and IP #40
23 Loss of substance,14 Strength,IP #35 and IP #28 and IP #31 and IP #40
23 Loss of substance,15 Duration of action of moving object,IP #28 and IP #27 and IP #3 and IP #18
23 Loss of substance,16 Duration of action of stationary object,IP #27 and IP #16 and IP #18 and IP #38
23 Loss of substance,17 Temperature,IP #21 and IP #36 and IP #39 and IP #31
23 Loss of substance,18 Illumination intensity,IP #1 and IP #6 and IP #13
23 Loss of substance,19 Use of energy by moving object,IP #35 and IP #18 and IP #24 and IP #5
23 Loss of substance,20 Use of energy by stationary object,IP #28 and IP #27 and IP #12 and IP #31
23 Loss of substance,21 Power,IP #28 and IP #27 and IP #18 and IP #38
23 Loss of substance,22 Loss of energy,IP #35 and IP #27 and IP #2 and IP #31
23 Loss of substance,23 Loss of substance,see physical contradiction
23 Loss of substance,24 Loss of information,no preferred inventive principles
23 Loss of substance,25 Loss of time,IP #15 and IP #18 and IP #35 and IP #10
23 Loss of substance,26 Quantity of substance,IP #6 and IP #3 and IP #10 and IP #24
23 Loss of substance,27 Reliability,IP #10 and IP #29 and IP #39 and IP #35
23 Loss of substance,28 Measurement accuracy,IP #16 and IP #34 and IP #31 and IP #28
23 Loss of substance,29 Manufacturing precision,IP #35 and IP #10 and IP #24 and IP #31
23 Loss of substance,30 Object-affected harmful factor,IP #33 and IP #22 and IP #30 and IP #40
23 Loss of substance,31 Object-generated harmful factor,IP #10 and IP #1 and IP #34 and IP #29
23 Loss of substance,32 Ease of manufacture,IP #15 and IP #34 and IP #33
23 Loss of substance,33 Ease of operation,IP #32 and IP #28 and IP #2 and IP #24
23 Loss of substance,34 Ease of repair,IP #2 and IP #35 and IP #34 and IP #27
23 Loss of substance,35 Adaptability or Versatility,IP #15 and IP #10 and IP #2
23 Loss of substance,36 Device complexity,IP #35 and IP #10 and IP #28 and IP #24
23 Loss of substance,37 Difficulty of detection,IP #35 and IP #18 and IP #10 and IP #13
23 Loss of substance,38 Extent of automation,IP #35 and IP #10 and IP #18
23 Loss of substance,39 Productivity,IP #28 and IP #35 and IP #10 and IP #23
24 Loss of information,01 Weight of moving object,IP #10 and IP #24 and IP #35
24 Loss of information,02 Weight of stationary object,IP #10 and IP #35 and IP #5
24 Loss of information,03 Length of moving object,IP #1 and IP #26
24 Loss of information,04 Length of stationary object,IP #26
24 Loss of information,05 Area of moving object,IP #30 and IP #26
24 Loss of information,06 Area of stationary object,IP #30 and IP #16
24 Loss of information,07 Volume of moving object,no preferred inventive principles
24 Loss of information,08 Volume of stationary object,IP #2 and IP #22
24 Loss of information,09 Speed,IP #26 and IP #32
24 Loss of information,10 Force (Intensity),no preferred inventive principles
24 Loss of information,11 Stress or pressure,no preferred inventive principles
24 Loss of information,12 Shape,no preferred inventive principles
24 Loss of information,13 Stability of the object composition,no preferred inventive principles
24 Loss of information,14 Strength,no preferred inventive principles
24 Loss of information,15 Duration of action of moving object,IP #10
24 Loss of information,16 Duration of action of stationary object,IP #10
24 Loss of information,17 Temperature,no preferred inventive principles
24 Loss of information,18 Illumination intensity,IP #19
24 Loss of information,19 Use of energy by moving object,no preferred inventive principles
24 Loss of information,20 Use of energy by stationary object,no preferred inventive principles
24 Loss of information,21 Power,IP #10 and IP #19
24 Loss of information,22 Loss of energy,IP #19 and IP #10
24 Loss of information,23 Loss of substance,no preferred inventive principles
24 Loss of information,24 Loss of information,see physical contradiction
24 Loss of information,25 Loss of time,IP #24 and IP #26 and IP #28 and IP #32
24 Loss of information,26 Quantity of substance,IP #24 and IP #28 and IP #35
24 Loss of information,27 Reliability,IP #10 and IP #28 and IP #23
24 Loss of information,28 Measurement accuracy,no preferred inventive principles
24 Loss of information,29 Manufacturing precision,no preferred inventive principles
24 Loss of information,30 Object-affected harmful factor,IP #22 and IP #10 and IP #1
24 Loss of information,31 Object-generated harmful factor,IP #10 and IP #21 and IP #22
24 Loss of information,32 Ease of manufacture,IP #32
24 Loss of information,33 Ease of operation,IP #27 and IP #22
24 Loss of information,34 Ease of repair,no preferred inventive principles
24 Loss of information,35 Adaptability or Versatility,no preferred inventive principles
24 Loss of information,36 Device complexity,no preferred inventive principles
24 Loss of information,37 Difficulty of detection,IP #35 and IP #33
24 Loss of information,38 Extent of automation,IP #35
24 Loss of information,39 Productivity,IP #13 and IP #23 and IP #15
25 Loss of time,01 Weight of moving object,IP #10 and IP #20 and IP #37 and IP #35
25 Loss of time,02 Weight of stationary object,IP #10 and IP #20 and IP #26 and IP #5
25 Loss of time,03 Length of moving object,IP #15 and IP #2 and IP #29
25 Loss of time,04 Length of stationary object,IP #30 and IP #24 and IP #14 and IP #5
25 Loss of time,05 Area of moving object,IP #26 and IP #4 and IP #5 and IP #16
25 Loss of time,06 Area of stationary object,IP #10 and IP #35 and IP #17 and IP #4
25 Loss of time,07 Volume of moving object,IP #2 and IP #5 and IP #34 and IP #10
25 Loss of time,08 Volume of stationary object,IP #35 and IP #16 and IP #32 and IP #18
25 Loss of time,09 Speed,no preferred inventive principles
25 Loss of time,10 Force (Intensity),IP #10 and IP #37 and IP #36 and IP #5
25 Loss of time,11 Stress or pressure,IP #37 and IP #36 and IP #4
25 Loss of time,12 Shape,IP #4 and IP #10 and IP #34 and IP #17
25 Loss of time,13 Stability of the object composition,IP #35 and IP #3 and IP #22 and IP #5
25 Loss of time,14 Strength,IP #29 and IP #3 and IP #28 and IP #18
25 Loss of time,15 Duration of action of moving object,IP #20 and IP #10 and IP #28 and IP #18
25 Loss of time,16 Duration of action of stationary object,IP #28 and IP #20 and IP #10 and IP #16
25 Loss of time,17 Temperature,IP #35 and IP #29 and IP #21 and IP #18
25 Loss of time,18 Illumination intensity,IP #1 and IP #19 and IP #26 and IP #17
25 Loss of time,19 Use of energy by moving object,IP #35 and IP #38 and IP #19 and IP #18
25 Loss of time,20 Use of energy by stationary object,IP #1
25 Loss of time,21 Power,IP #35 and IP #20 and IP #10 and IP #6
25 Loss of time,22 Loss of energy,IP #10 and IP #5 and IP #18 and IP #32
25 Loss of time,23 Loss of substance,IP #35 and IP #18 and IP #10 and IP #39
25 Loss of time,24 Loss of information,IP #24 and IP #26 and IP #28 and IP #32
25 Loss of time,25 Loss of time,see physical contradiction
25 Loss of time,26 Quantity of substance,IP #35 and IP #38 and IP #18 and IP #16
25 Loss of time,27 Reliability,IP #10 and IP #30 and IP #4
25 Loss of time,28 Measurement accuracy,IP #24 and IP #34 and IP #28 and IP #32
25 Loss of time,29 Manufacturing precision,IP #24 and IP #26 and IP #28 and IP #18
25 Loss of time,30 Object-affected harmful factor,IP #35 and IP #18 and IP #34
25 Loss of time,31 Object-generated harmful factor,IP #35 and IP #22 and IP #18 and IP #39
25 Loss of time,32 Ease of manufacture,IP #35 and IP #28 and IP #34 and IP #4
25 Loss of time,33 Ease of operation,IP #4 and IP #28 and IP #10 and IP #34
25 Loss of time,34 Ease of repair,IP #32 and IP #1 and IP #10
25 Loss of time,35 Adaptability or Versatility,IP #35 and IP #28
25 Loss of time,36 Device complexity,IP #6 and IP #29
25 Loss of time,37 Difficulty of detection,IP #18 and IP #28 and IP #32 and IP #10
25 Loss of time,38 Extent of automation,IP #24 and IP #28 and IP #35 and IP #30
25 Loss of time,39 Productivity,no preferred inventive principles
26 Quantity of substance,01 Weight of moving object,IP #35 and IP #6 and IP #18 and IP #31
26 Quantity of substance,02 Weight of stationary object,IP #27 and IP #26 and IP #18 and IP #35
26 Quantity of substance,03 Length of moving object,IP #29 and IP #14 and IP #35 and IP #18
26 Quantity of substance,04 Length of stationary object,no preferred inventive principles
26 Quantity of substance,05 Area of moving object,IP #15 and IP #14 and IP #29
26 Quantity of substance,06 Area of stationary object,IP #2 and IP #18 and IP #40 and IP #4
26 Quantity of substance,07 Volume of moving object,IP #15 and IP #20 and IP #29
26 Quantity of substance,08 Volume of stationary object,no preferred inventive principles
26 Quantity of substance,09 Speed,IP #35 and IP #29 and IP #34 and IP #28
26 Quantity of substance,10 Force (Intensity),IP #35 and IP #14 and IP #3
26 Quantity of substance,11 Stress or pressure,IP #10 and IP #36 and IP #14 and IP #3
26 Quantity of substance,12 Shape,IP #35 and IP #14
26 Quantity of substance,13 Stability of the object composition,IP #15 and IP #2 and IP #17 and IP #40
26 Quantity of substance,14 Strength,IP #14 and IP #35 and IP #34 and IP #10
26 Quantity of substance,15 Duration of action of moving object,IP #3 and IP #35 and IP #10 and IP #40
26 Quantity of substance,16 Duration of action of stationary object,IP #3 and IP #35 and IP #31
26 Quantity of substance,17 Temperature,IP #3 and IP #17 and IP #39
26 Quantity of substance,18 Illumination intensity,no preferred inventive principles
26 Quantity of substance,19 Use of energy by moving object,IP #34 and IP #29 and IP #16 and IP #18
26 Quantity of substance,20 Use of energy by stationary object,IP #3 and IP #35 and IP #31
26 Quantity of substance,21 Power,IP #35
26 Quantity of substance,22 Loss of energy,IP #7 and IP #18 and IP #25
26 Quantity of substance,23 Loss of substance,IP #6 and IP #3 and IP #10 and IP #24
26 Quantity of substance,24 Loss of information,IP #24 and IP #28 and IP #35
26 Quantity of substance,25 Loss of time,IP #35 and IP #38 and IP #18 and IP #16
26 Quantity of substance,26 Quantity of substance,see physical contradiction
26 Quantity of substance,27 Reliability,IP #18 and IP #3 and IP #28 and IP #40
26 Quantity of substance,28 Measurement accuracy,IP #13 and IP #2 and IP #28
26 Quantity of substance,29 Manufacturing precision,IP #33 and IP #30
26 Quantity of substance,30 Object-affected harmful factor,IP #35 and IP #33 and IP #29 and IP #31
26 Quantity of substance,31 Object-generated harmful factor,IP #3 and IP #35 and IP #40 and IP #39
26 Quantity of substance,32 Ease of manufacture,IP #29 and IP #1 and IP #35 and IP #27
26 Quantity of substance,33 Ease of operation,IP #35 and IP #29 and IP #25 and IP #10
26 Quantity of substance,34 Ease of repair,IP #2 and IP #32 and IP #10 and IP #25
26 Quantity of substance,35 Adaptability or Versatility,IP #15 and IP #3 and IP #29
26 Quantity of substance,36 Device complexity,IP #3 and IP #13 and IP #27 and IP #10
26 Quantity of substance,37 Difficulty of detection,IP #3 and IP #27 and IP #29 and IP #18
26 Quantity of substance,38 Extent of automation,IP #8 and IP #35
26 Quantity of substance,39 Productivity,IP #13 and IP #29 and IP #3 and IP #27
27 Reliability,01 Weight of moving object,IP #3 and IP #8 and IP #10 and IP #40
27 Reliability,02 Weight of stationary object,IP #3 and IP #10 and IP #8 and IP #28
27 Reliability,03 Length of moving object,IP #15 and IP #9 and IP #14 and IP #4
27 Reliability,04 Length of stationary object,IP #15 and IP #29 and IP #28 and IP #11
27 Reliability,05 Area of moving object,IP #17 and IP #10 and IP #14 and IP #16
27 Reliability,06 Area of stationary object,IP #32 and IP #35 and IP #40 and IP #4
27 Reliability,07 Volume of moving object,IP #3 and IP #10 and IP #14 and IP #24
27 Reliability,08 Volume of stationary object,IP #2 and IP #35 and IP #24
27 Reliability,09 Speed,IP #21 and IP #35 and IP #11 and IP #28
27 Reliability,10 Force (Intensity),IP #8 and IP #28 and IP #10 and IP #3
27 Reliability,11 Stress or pressure,IP #10 and IP #24 and IP #35 and IP #19
27 Reliability,12 Shape,IP #35 and IP #1 and IP #16 and IP #11
27 Reliability,13 Stability of the object composition,no preferred inventive principles
27 Reliability,14 Strength,IP #11 and IP #28
27 Reliability,15 Duration of action of moving object,IP #2 and IP #35 and IP #3 and IP #25
27 Reliability,16 Duration of action of stationary object,IP #34 and IP #27 and IP #6 and IP #40
27 Reliability,17 Temperature,IP #3 and IP #35 and IP #10
27 Reliability,18 Illumination intensity,IP #11 and IP #32 and IP #13
27 Reliability,19 Use of energy by moving object,IP #21 and IP #11 and IP #27 and IP #19
27 Reliability,20 Use of energy by stationary object,IP #36 and IP #23
27 Reliability,21 Power,IP #21 and IP #11 and IP #26 and IP #31
27 Reliability,22 Loss of energy,IP #10 and IP #11 and IP #35
27 Reliability,23 Loss of substance,IP #10 and IP #35 and IP #29 and IP #39
27 Reliability,24 Loss of information,IP #10 and IP #28
27 Reliability,25 Loss of time,IP #10 and IP #30 and IP #4
27 Reliability,26 Quantity of substance,IP #21 and IP #28 and IP #40 and IP #3
27 Reliability,27 Reliability,see physical contradiction
27 Reliability,28 Measurement accuracy,IP #32 and IP #3 and IP #11 and IP #23
27 Reliability,29 Manufacturing precision,IP #11 and IP #32 and IP #1
27 Reliability,30 Object-affected harmful factor,IP #27 and IP #35 and IP #2 and IP #40
27 Reliability,31 Object-generated harmful factor,IP #35 and IP #2 and IP #40 and IP #26
27 Reliability,32 Ease of manufacture,no preferred inventive principles
27 Reliability,33 Ease of operation,IP #27 and IP #17 and IP #40
27 Reliability,34 Ease of repair,IP #1 and IP #11
27 Reliability,35 Adaptability or Versatility,IP #13 and IP #35 and IP #8 and IP #24
27 Reliability,36 Device complexity,IP #13 and IP #35 and IP #1
27 Reliability,37 Difficulty of detection,IP #27 and IP #40 and IP #28
27 Reliability,38 Extent of automation,IP #11 and IP #13 and IP #27
27 Reliability,39 Productivity,IP #1 and IP #35 and IP #29 and IP #38
28 Measurement accuracy,01 Weight of moving object,IP #32 and IP #35 and IP #26 and IP #28
28 Measurement accuracy,02 Weight of stationary object,IP #28 and IP #35 and IP #25 and IP #26
28 Measurement accuracy,03 Length of moving object,IP #28 and IP #26 and IP #5 and IP #16
28 Measurement accuracy,04 Length of stationary object,IP #32 and IP #28 and IP #3 and IP #16
28 Measurement accuracy,05 Area of moving object,IP #26 and IP #28 and IP #32 and IP #3
28 Measurement accuracy,06 Area of stationary object,IP #26 and IP #28 and IP #32 and IP #3
28 Measurement accuracy,07 Volume of moving object,IP #32 and IP #13 and IP #6
28 Measurement accuracy,08 Volume of stationary object,no preferred inventive principles
28 Measurement accuracy,09 Speed,IP #28 and IP #13 and IP #32 and IP #24
28 Measurement accuracy,10 Force (Intensity),IP #32 and IP #2
28 Measurement accuracy,11 Stress or pressure,IP #6 and IP #28 and IP #32
28 Measurement accuracy,12 Shape,IP #6 and IP #28 and IP #32
28 Measurement accuracy,13 Stability of the object composition,IP #32 and IP #35 and IP #13
28 Measurement accuracy,14 Strength,IP #28 and IP #6 and IP #32
28 Measurement accuracy,15 Duration of action of moving object,IP #28 and IP #6 and IP #32
28 Measurement accuracy,16 Duration of action of stationary object,IP #10 and IP #26 and IP #24
28 Measurement accuracy,17 Temperature,IP #6 and IP #19 and IP #28 and IP #24
28 Measurement accuracy,18 Illumination intensity,IP #6 and IP #1 and IP #32
28 Measurement accuracy,19 Use of energy by moving object,IP #3 and IP #6 and IP #32
28 Measurement accuracy,20 Use of energy by stationary object,no preferred inventive principles
28 Measurement accuracy,21 Power,IP #3 and IP #6 and IP #32
28 Measurement accuracy,22 Loss of energy,IP #26 and IP #32 and IP #27
28 Measurement accuracy,23 Loss of substance,IP #10 and IP #16 and IP #31 and IP #28
28 Measurement accuracy,24 Loss of information,no preferred inventive principles
28 Measurement accuracy,25 Loss of time,IP #24 and IP #34 and IP #28 and IP #32
28 Measurement accuracy,26 Quantity of substance,IP #2 and IP #6 and IP #32
28 Measurement accuracy,27 Reliability,IP #5 and IP #11 and IP #1 and IP #23
28 Measurement accuracy,28 Measurement accuracy,see physical contradiction
28 Measurement accuracy,29 Manufacturing precision,no preferred inventive principles
28 Measurement accuracy,30 Object-affected harmful factor,IP #28 and IP #24 and IP #22 and IP #26
28 Measurement accuracy,31 Object-generated harmful factor,IP #3 and IP #33 and IP #39 and IP #10
28 Measurement accuracy,32 Ease of manufacture,IP #6 and IP #35 and IP #25 and IP #18
28 Measurement accuracy,33 Ease of operation,IP #1 and IP #13 and IP #17 and IP #34
28 Measurement accuracy,34 Ease of repair,IP #1 and IP #32 and IP #13 and IP #11
28 Measurement accuracy,35 Adaptability or Versatility,IP #13 and IP #35 and IP #2
28 Measurement accuracy,36 Device complexity,IP #27 and IP #35 and IP #10 and IP #34
28 Measurement accuracy,37 Difficulty of detection,IP #26 and IP #24 and IP #32 and IP #28
28 Measurement accuracy,38 Extent of automation,IP #28 and IP #2 and IP #10 and IP #34
28 Measurement accuracy,39 Productivity,IP #10 and IP #34 and IP #28 and IP #32
29 Manufacturing precision,01 Weight of moving object,IP #28 and IP #32 and IP #13 and IP #18
29 Manufacturing precision,02 Weight of stationary object,IP #28 and IP #35 and IP #27 and IP #9
29 Manufacturing precision,03 Length of moving object,IP #10 and IP #28 and IP #29 and IP #37
29 Manufacturing precision,04 Length of stationary object,IP #2 and IP #32 and IP #10
29 Manufacturing precision,05 Area of moving object,IP #28 and IP #33 and IP #29 and IP #32
29 Manufacturing precision,06 Area of stationary object,IP #2 and IP #29 and IP #18 and IP #36
29 Manufacturing precision,07 Volume of moving object,IP #32 and IP #23 and IP #2
29 Manufacturing precision,08 Volume of stationary object,IP #25 and IP #10 and IP #35
29 Manufacturing precision,09 Speed,IP #10 and IP #28 and IP #32
29 Manufacturing precision,10 Force (Intensity),IP #28 and IP #19 and IP #34 and IP #36
29 Manufacturing precision,11 Stress or pressure,IP #3 and IP #35
29 Manufacturing precision,12 Shape,IP #32 and IP #30 and IP #40
29 Manufacturing precision,13 Stability of the object composition,IP #30 and IP #18
29 Manufacturing precision,14 Strength,IP #3 and IP #27
29 Manufacturing precision,15 Duration of action of moving object,IP #3 and IP #27 and IP #40
29 Manufacturing precision,16 Duration of action of stationary object,no preferred inventive principles
29 Manufacturing precision,17 Temperature,IP #19 and IP #26
29 Manufacturing precision,18 Illumination intensity,IP #3 and IP #32
29 Manufacturing precision,19 Use of energy by moving object,IP #32 and IP #2
29 Manufacturing precision,20 Use of energy by stationary object,no preferred inventive principles
29 Manufacturing precision,21 Power,IP #32 and IP #2
29 Manufacturing precision,22 Loss of energy,IP #13 and IP #32 and IP #2
29 Manufacturing precision,23 Loss of substance,IP #35 and IP #31 and IP #10 and IP #24
29 Manufacturing precision,24 Loss of information,no preferred inventive principles
29 Manufacturing precision,25 Loss of time,IP #32 and IP #26 and IP #28 and IP #18
29 Manufacturing precision,26 Quantity of substance,IP #32 and IP #30
29 Manufacturing precision,27 Reliability,IP #11 and IP #32 and IP #1
29 Manufacturing precision,28 Measurement accuracy,no preferred inventive principles
29 Manufacturing precision,29 Manufacturing precision,see physical contradiction
29 Manufacturing precision,30 Object-affected harmful factor,IP #26 and IP #28 and IP #10 and IP #36
29 Manufacturing precision,31 Object-generated harmful factor,IP #4 and IP #17 and IP #34 and IP #26
29 Manufacturing precision,32 Ease of manufacture,no preferred inventive principles
29 Manufacturing precision,33 Ease of operation,IP #1 and IP #32 and IP #35 and IP #23
29 Manufacturing precision,34 Ease of repair,IP #25 and IP #10
29 Manufacturing precision,35 Adaptability or Versatility,no preferred inventive principles
29 Manufacturing precision,36 Device complexity,IP #26 and IP #2 and IP #18
29 Manufacturing precision,37 Difficulty of detection,no preferred inventive principles
29 Manufacturing precision,38 Extent of automation,IP #26 and IP #28 and IP #18 and IP #23
29 Manufacturing precision,39 Productivity,IP #10 and IP #18 and IP #32 and IP #39
30 Object-affected harmful factor,01 Weight of moving object,IP #22 and IP #21 and IP #27 and IP #39
30 Object-affected harmful factor,02 Weight of stationary object,IP #2 and IP #22 and IP #13 and IP #24
30 Object-affected harmful factor,03 Length of moving object,IP #17 and IP #1 and IP #39 and IP #4
30 Object-affected harmful factor,04 Length of stationary object,IP #1 and IP #18
30 Object-affected harmful factor,05 Area of moving object,IP #22 and IP #1 and IP #33 and IP #28
30 Object-affected harmful factor,06 Area of stationary object,IP #27 and IP #2 and IP #39 and IP #35
30 Object-affected harmful factor,07 Volume of moving object,IP #22 and IP #23 and IP #37 and IP #35
30 Object-affected harmful factor,08 Volume of stationary object,IP #34 and IP #39 and IP #19 and IP #27
30 Object-affected harmful factor,09 Speed,IP #21 and IP #22 and IP #35 and IP #28
30 Object-affected harmful factor,10 Force (Intensity),IP #13 and IP #35 and IP #39 and IP #18
30 Object-affected harmful factor,11 Stress or pressure,IP #22 and IP #2 and IP #37
30 Object-affected harmful factor,12 Shape,IP #22 and IP #1 and IP #3 and IP #35
30 Object-affected harmful factor,13 Stability of the object composition,IP #35 and IP #24 and IP #30 and IP #18
30 Object-affected harmful factor,14 Strength,IP #18 and IP #35 and IP #37 and IP #1
30 Object-affected harmful factor,15 Duration of action of moving object,IP #22 and IP #15 and IP #33 and IP #28
30 Object-affected harmful factor,16 Duration of action of stationary object,IP #17 and IP #1 and IP #40 and IP #33
30 Object-affected harmful factor,17 Temperature,IP #22 and IP #33 and IP #35 and IP #2
30 Object-affected harmful factor,18 Illumination intensity,IP #1 and IP #19 and IP #32 and IP #13
